ID_FINANCE,Deposit_Date,Special_Pay,Tuition,FRP_Active,FRP_Cancelled,FRP_Take_up_percent_,EZ_Pay_Take_Up_Rate,School_Sponsor,SPR_Group_Revenue,FPP_to_PAX,Num_of_Non_FPP_PAX,ID_TRIP,ID_SALES,Program_Code,From_Grade,To_Grade,Group_State,Days,Travel_Type,Departure_Date,Return_Date,Early_RPL,Latest_RPL,Cancelled_Pax,Total_Discount_Pax,Initial_System_Date,SPR_Product_Type,FPP,Total_Pax,DepartureMonth,GroupGradeTypeLow,GroupGradeTypeHigh,MajorProgramCode,FPP_to_School_enrollment,Retained,ID_CRM,Poverty_Code,Region,School_Type,Parent_Meeting_Flag,MDR_Low_Grade,MDR_High_Grade,Total_School_Enrollment,Income_Level,SPR_New_Existing,NumberOfMeetingswithParents,FirstMeeting,LastMeeting,DifferenceTraveltoLastMeeting,SchoolGradeTypeLow,SchoolGradeTypeHigh,SchoolGradeType,SchoolSizeIndicator,Departure_From_The_Payment
CP1924,2018-10-23,CP,1569,24,3,"0,781304699771908","0,173346996182394",0,1776,"0,876976881492368",4,1924,HD1924A,HD,6,7,CO,16,A,2019-06-19,07/05/2019,,08/27/2018,5,4,09/12/2018,East Coast,31,41,January,1,5,H,"0,064467213719413",0,B1924L,B,Other,PUBLIC,1,1,12,531,L,1,1,09/19/2018,2018-09-22,270,5,1,Middle->Middle,S-M,239 days
CP195,2018-11-19,CP,2211,41,5,"0,557684410785525","0,164613420482743",0,2036,"0,925053701747923",8,195,HD195A,HD,9,9,CA,13,A,2019-05-21,06/03/2019,04/10/2018,08/11/2018,6,7,04/11/2018,East Coast,75,72,January,1,4,H,"0,0795043445408",1,0195Q,0,Southern California,Private non-Christian,1,1,8,883,Q,0,1,08/31/2018,2018-08-26,268,4,1,Middle->Middle,L,183 days
CP2003,2018-09-19,CP,2584,27,0,"0,672995404449406","0,076054751738342",0,2870,"0,874414359030747",4,2003,HO2003A,HO,4,4,CA,16,A,2019-05-18,06/03/2019,02/21/2018,08/23/2018,1,5,02/27/2018,East Coast,49,46,January,2,4,H,"0,14691644649358",1,02003Q,0,Southern California,Private non-Christian,1,2,6,263,Q,0,1,09/28/2018,2018-09-28,232,4,2,Elementary->Elementary,S,241 days
CP2084,2018-11-02,CP,1788,17,4,"0,229771599350823","0,088889167842062",0,1646,"0,886487773566276",8,2084,HD2084A,HD,6,6,CA,16,A,2019-04-29,05/15/2019,,09/06/2018,3,7,02/16/2018,East Coast,77,87,January,4,4,H,"1,43925259642132",1,02084Q,0,Northern California,Private non-Christian,1,6,8,47,Q,0,1,09/26/2018,2018-10-04,207,4,4,Middle->Middle,S,178 days
CP2089,2018-10-18,CP,1646,43,4,"0,779575125668865","0,153374467126135",0,1560,"0,911654472745867",8,2089,HD2089A,HD,8,8,TN,24,A,2019-04-26,05/20/2019,02/04/2018,08/21/2018,7,7,02/10/2018,East Coast,66,60,January,4,4,H,"0,079189706533331",1,C2089B,C,Other,PUBLIC,1,6,8,687,B,0,1,09/14/2018,2018-09-20,218,4,4,Middle->Middle,M-L,190 days
CP2114,2018-11-06,CP,1616,10,2,"0,225303999597777",0,0,1601,"0,864887394465694",5,2114,HD2114A,HD,8,8,AZ,18,A,2019-04-29,05/17/2019,,08/26/2018,10,5,09/21/2018,East Coast,54,62,January,2,4,H,,1,02114J,0,Other,PUBLIC,0,2,8,0,J,1,0,,,,4,2,Middle->Middle,,174 days
CP2117,2018-10-18,CP,2023,54,8,"0,606934600549572","0,059349423172037",1,2034,"0,87532653934827",14,2117,HD2117A,HD,8,8,AZ,35,A,2019-05-08,06/12/2019,04/03/2018,09/03/2018,9,11,04/18/2018,East Coast,70,106,January,4,4,H,"0,267318409602006",1,A2117Q,A,Other,PUBLIC,1,7,8,283,Q,1,1,09/22/2018,2018-09-07,243,4,4,Middle->Middle,S,202 days
CP2165,2018-10-11,CP,875,34,3,"0,28625575239421","0,222539207972204",0,793,"0,886715663117708",18,2165,HD2165T,HD,6,6,OH,12,T,2019-05-13,05/25/2019,04/27/2018,08/31/2018,6,19,03/26/2018,East Coast,127,138,January,4,4,H,"0,237392075127966",1,B2165J,B,Other,PUBLIC,1,6,8,452,J,1,1,09/09/2018,2018-09-07,248,4,4,Middle->Middle,S-M,214 days
CP225,2018-10-04,CP,3143,50,11,"0,611712774013426","0,174670040782044",1,2795,"0,946657188435813",4,225,HC225A,HC,7,,CA,41,A,2019-06-04,07/15/2019,01/26/2018,08/16/2018,10,5,02/14/2018,East Coast,77,91,January,1,4,H,"0,108580922876544",1,0225O,0,Southern California,CHD,1,1,8,681,O,1,1,09/06/2018,2018-09-17,260,4,1,Middle->Undefined,M-L,243 days
CP2251,2018-10-16,CP,2165,8,4,"0,518273934334364","0,181143011664176",0,2004,"0,775887488273165",4,2251,HD2251A,HD,9,9,CA,14,A,2019-03-15,03/29/2019,04/20/2018,08/08/2018,4,3,02/03/2018,East Coast,18,21,January,2,4,H,"0,064452401813838",1,A2251Q,A,Northern California,PUBLIC,1,2,8,241,Q,0,2,05/03/2018,2018-09-12,184,4,2,Middle->Middle,S,150 days
CP242,2018-09-28,CP,2505,36,1,"0,592224236960405","0,26209453742458",1,2505,"0,894531055221885",5,242,CC242A,CC,7,7,CA,28,A,2019-03-09,04/06/2019,02/22/2018,08/23/2018,1,5,02/13/2018,East Coast,55,61,January,1,4,C,"0,067303566941564",1,0242Q,0,Northern California,CHD,1,1,8,849,Q,0,1,09/06/2018,2018-08-25,196,4,1,Middle->Middle,L,162 days
CP2447,2018-10-29,CP,1503,39,6,"0,800959639298831","0,13069471082206",0,1643,"0,903440688229694",5,2447,HD2447A,HD,6,6,TX,16,A,2019-05-16,06/01/2019,02/21/2018,08/30/2018,4,5,02/08/2018,East Coast,54,55,January,4,4,H,"0,227329265378127",1,B2447O,B,Dallas,PUBLIC,1,6,8,187,O,0,1,09/30/2018,2018-10-03,225,4,4,Middle->Middle,S,199 days
CP2450,2018-10-31,CP,518,39,4,"0,660925477982779","0,089989635852092",1,606,"0,935462101568833",4,2450,HG2450T,HG,2,2,CA,13,T,2019-05-26,06/08/2019,,09/09/2018,6,4,06/13/2018,CA History,67,64,January,2,3,H,"0,217302018743258",1,B2450Q,B,Southern California,PUBLIC,1,2,5,289,Q,0,1,10/23/2018,2018-10-07,231,3,2,Elementary->Elementary,S,207 days
CP2458,2018-12-29,CP,1923,3,0,"0,570228701808613","0,168003444493224",0,2187,"0,863932878609291",1,2458,SK2458A,SK,7,10,AZ,10,A,2019-03-21,03/31/2019,,,0,1,,Science,5,7,January,5,5,S,"0,002829514707566",0,B2458N,B,Other,PUBLIC,0,9,12,1822,N,1,0,,,,5,5,High->High,L,82 days
CP2487,2017-11-23,CP,2445,9,9,"0,41764119847481","0,082876141126633",0,2581,"0,848977014184084",3,2487,HC2487A,HC,10,10,AZ,24,A,2019-01-07,01/31/2019,10/19/2017,08/06/2018,10,3,09/10/2017,East Coast,25,24,December,4,4,H,"0,025500913956943",1,C2487A,C,Other,PUBLIC,1,7,8,873,A,1,2,11/06/2017,2018-08-19,141,4,4,Middle->Middle,L,410 days
CP2578,2018-11-15,CP,1916,28,7,"0,864408553570198","0,259495812265843",0,2160,"0,987525693516761",2,2578,HD2578A,HD,9,9,CA,22,A,2019-03-18,04/09/2019,05/08/2017,08/03/2017,6,2,05/29/2017,East Coast,40,35,January,1,4,H,"0,176683292997714",0,02578O,0,Northern California,Catholic,0,1,8,215,O,1,0,,,,4,1,Middle->Middle,S,123 days
CP2598,2017-11-17,CP,2562,9,9,"0,399822908913513","0,084527232570809",0,2457,"0,894534226099812",3,2598,HC2598A,HC,8,8,AZ,21,A,2019-01-08,01/29/2019,10/08/2017,07/20/2018,12,3,10/06/2017,East Coast,20,23,December,4,4,H,"0,02511687303751",1,C2598A,C,Other,PUBLIC,1,7,8,852,A,1,2,11/22/2017,2018-08-31,130,4,4,Middle->Middle,L,417 days
CP2620,2018-10-19,CP,667,14,11,"0,579414764287698","0,034824654469473",1,572,"0,884900299911932",2,2620,HS2620A,HS,3,3,CA,4,A,2019-04-05,04/09/2019,05/08/2018,09/12/2018,23,2,05/03/2018,CA History,24,26,January,3,3,H,"0,054064069600074",1,C2620H,C,Southern California,PUBLIC,0,4,5,408,H,0,0,,,,3,3,Elementary->Elementary,S-M,168 days
CP2661,2018-10-04,CP,1788,10,1,"0,655657797010818",0,0,1671,"0,908376017164769",2,2661,HD2661A,HD,8,8,AZ,14,A,2019-04-04,04/18/2019,04/14/2018,10/29/2018,2,2,04/15/2018,East Coast,18,20,January,1,5,H,"0,0494054026603",1,02661Z,0,Other,Catholic,1,1,12,319,Z,1,1,09/17/2018,2018-09-20,196,5,1,Middle->Middle,S,182 days
CP2719,2018-11-06,CP,734,17,4,"0,607063297385512","0,182650469418765",0,687,"0,960169869193844",2,2719,HD2719T,HD,9,9,OH,9,T,2019-06-11,06/20/2019,03/30/2018,09/12/2018,6,2,03/30/2018,East Coast,29,27,January,4,4,H,"0,066576485960353",1,B2719I,B,Other,PUBLIC,0,6,8,373,I,1,0,,,,4,4,Middle->Middle,S-M,217 days
CP2757,2019-01-26,CP,659,15,0,"0,61693128202839","0,130481071350457",1,759,"0,871346720478939",3,2757,HG2757A,HG,5,5,CA,8,A,2019-05-01,05/09/2019,,01/20/2019,2,3,05/16/2018,CA History,28,28,January,2,4,H,"0,247778057116753",1,02757M,0,Southern California,Private non-Christian,0,2,6,114,M,0,0,,,,4,2,Elementary->Elementary,S,95 days
CP2762,2018-11-07,CP,1771,3,2,"0,151838389572922","0,056569334849642",0,1851,"0,91618864371894",2,2762,CD2762A,CD,6,6,OR,20,A,2019-04-25,05/15/2019,,10/02/2018,2,2,09/20/2018,East Coast,23,23,January,1,5,C,"0,028278869617866",1,02762I,0,Pacific Northwest,CHD,1,1,12,688,I,1,1,11/02/2018,2018-11-03,173,5,1,Middle->Middle,M-L,169 days
CP2854,2018-12-09,CP,592,2,0,"0,07313075696059","0,127923787733537",1,570,"0,975662370476223",1,2854,HS2854A,HS,2,2,CA,6,A,2019-05-21,05/27/2019,,10/04/2018,3,1,09/12/2018,CA History,29,28,January,2,4,H,"0,040354545883371",1,B2854K,B,Southern California,PUBLIC,0,2,7,727,K,1,0,,,,4,2,Elementary->Elementary,M-L,163 days
CP2887,2018-10-16,CP,641,11,5,"0,351339300301338","0,218867329708772",0,627,"0,840076585508083",4,2887,HD2887T,HD,6,7,SC,12,T,2019-04-15,04/27/2019,03/14/2018,08/31/2018,7,4,03/25/2018,East Coast,25,37,January,1,4,H,"0,059758620065911",0,C2887C,C,Other,PUBLIC,1,1,7,510,C,0,1,08/14/2018,2018-08-21,237,4,1,Middle->Middle,S-M,181 days
CP2919,2018-10-21,CP,1639,43,4,"0,754307000663303","0,165507487481052",0,1693,"0,911323962928413",7,2919,HD2919A,HD,6,6,TN,20,A,2019-05-04,05/24/2019,02/18/2018,08/06/2018,6,9,02/22/2018,East Coast,53,60,January,4,4,H,"0,080549499097983",1,C2919B,C,Other,PUBLIC,1,6,8,766,B,0,1,09/27/2018,2018-09-16,230,4,4,Middle->Middle,M-L,195 days
CP3033,2018-09-28,CP,1519,52,13,"0,683734383375388","0,242706894383497",0,1402,"0,875730777316291",6,3033,HD3033A,HD,8,8,CA,13,A,2019-05-27,06/09/2019,03/22/2018,09/06/2018,24,5,03/21/2018,East Coast,58,78,January,4,4,H,"0,086539155087997",1,B3033G,B,Southern California,PUBLIC,1,6,8,783,G,1,1,08/31/2018,2018-09-07,262,4,4,Middle->Middle,M-L,241 days
CP3035,2018-10-12,CP,1971,6,0,"0,565912810509639","0,340148434210789",0,2153,"0,848002599571817",2,3035,HD3035A,HD,7,7,TX,16,A,2019-03-11,03/27/2019,01/25/2018,08/27/2018,0,2,01/04/2018,East Coast,13,12,January,1,4,H,"0,063609745789737",1,03035A,0,Dallas,CHD,1,1,6,157,A,1,1,08/11/2018,2018-08-23,200,4,1,Middle->Middle,S,150 days
CP3050,2018-10-22,CP,2124,19,4,"0,620348985791796","0,436146953828539",0,2145,"0,899115247006674",3,3050,HC3050A,HC,5,7,SD,19,A,2019-05-31,06/19/2019,02/16/2018,09/24/2018,5,3,01/02/2018,East Coast,32,33,January,4,4,H,"0,195808765036852",1,A3050H,A,Other,PUBLIC,1,6,8,160,H,0,2,03/19/2018,2018-09-14,259,4,4,Middle->Middle,S,221 days
CP3061,2018-10-23,CP,2307,65,2,"0,537904795482716","0,184752008145351",1,2292,"0,89041232115747",11,3061,HD3061A,HD,8,8,CA,32,A,2019-05-23,06/24/2019,05/23/2018,09/24/2018,3,9,03/26/2018,East Coast,124,132,January,1,5,H,"0,104643290725708",1,03061P,0,Southern California,CHD,1,1,12,1083,P,0,1,10/27/2018,2018-10-10,225,5,1,Middle->Middle,L,212 days
CP3190,2018-06-05,CP,3062,13,1,"0,68100535546632","0,402707922437268",0,3008,"0,93489795163423",1,3190,HC3190A,HC,7,7,WA,21,A,2019-05-10,05/31/2019,02/07/2018,01/05/2018,0,1,02/03/2018,East Coast,17,23,January,1,4,H,"0,065858515918343",1,03190M,0,Pacific Northwest,Private non-Christian,1,1,8,336,M,0,2,02/15/2018,2018-09-06,246,4,1,Middle->Middle,S,339 days
CP3229,2018-10-02,CP,1720,41,3,"0,38661433774417","0,249541853613814",0,1696,"0,912390397222438",9,3229,HD3229A,HD,7,7,CO,11,A,2019-05-28,06/08/2019,,08/27/2018,5,11,04/02/2018,East Coast,91,108,January,4,4,H,"0,166827001054209",1,B3229O,B,Other,PUBLIC,0,6,8,665,O,1,0,,,,4,4,Middle->Middle,M-L,238 days
CP3259,2018-05-27,CP,2187,11,0,"0,355809816663146","0,180629063447036",0,2226,"0,877252801073574",4,3259,HD3259A,HD,9,9,CA,11,A,2019-05-24,06/04/2019,01/18/2018,02/14/2018,0,4,01/11/2018,East Coast,31,32,January,2,4,H,"0,115050210369642",1,03259O,0,Northern California,Private non-Christian,1,2,8,275,O,1,1,09/29/2018,2018-09-25,241,4,2,Middle->Middle,S,362 days
CP3267,2018-11-05,CP,1201,35,4,"0,614825136778354","0,33091324416817",0,1276,"0,906039286561885",4,3267,HD3267A,HD,11,11,WI,22,A,2019-02-24,03/18/2019,04/14/2018,08/30/2018,7,4,04/08/2018,East Coast,64,62,January,4,5,H,"0,070655588301881",1,B3267G,B,Other,PUBLIC,1,7,9,792,G,0,1,08/30/2018,2018-08-31,177,5,4,High->High,L,111 days
CP3268,2018-10-11,CP,2051,71,2,"0,575158222590093","0,191202373823013",1,2286,"0,959832084298133",11,3268,HD3268A,HD,8,8,CA,34,A,2019-05-23,06/26/2019,05/21/2018,09/16/2018,3,10,04/14/2018,East Coast,99,130,January,1,5,H,"0,102754826186569",1,03268P,0,Southern California,CHD,1,1,12,1257,P,1,1,10/26/2018,2018-10-26,209,5,1,Middle->Middle,L,224 days
CP3280,2018-10-27,CP,1772,3,5,"0,616085835499611","0,173928372432279",0,1600,"0,688972862519534",2,3280,HD3280A,HD,8,8,TX,10,A,2019-03-18,03/28/2019,03/07/2018,08/20/2018,6,2,02/28/2018,East Coast,4,7,January,4,4,H,"0,006629769541396",1,B3280O,B,Houston,PUBLIC,1,6,8,733,O,0,2,05/07/2018,2018-09-25,174,4,4,Middle->Middle,M-L,142 days
CP3323,2018-10-26,CP,556,39,4,"0,622722383239289","0,104546245737663",1,587,"0,925185180181671",4,3323,HG3323T,HG,6,6,CA,9,T,2019-05-24,06/02/2019,,09/11/2018,7,5,06/17/2018,CA History,55,56,January,2,3,H,"0,211053994609343",1,B3323Q,B,Southern California,PUBLIC,1,2,5,239,Q,1,1,10/17/2018,2018-10-14,222,3,2,Elementary->Elementary,S,210 days
